ProducingTime(days),CumulativeProduction(MMscf),Gasflowrate(Mscf/D)
30,13.4589,413.3
60,25.3066,392.8
90,36.3221,375.9
120,47.815,371.3
150,60.7706,377.5
180,71.1327,367.8
210,80.6358,356.8
240,90.3544,349.0
270,105.643,361.7
300,113.646,349.1
330,122.878,341.9
360,137.776,350.1
390,142.799,333.6
420,147.511,291.4
450,168.504,338.2
480,175.674,329.1
510,183.737,322.5
540,198.204,327.1
570,199.765,310.9
600,215.121,316.6
660,230.559,305.6
720,248.155,298.7
780,264.898,291.6
840,287.170,290.8
900,296.938,278.0
960,327.427,284.8
1020,341.435,276.9
1170,376.068,259.9
1200,379.859,254.8
1320,416.501,249.4
1410,426.793,236.1
1500,458.434,237.4
1620,482.743,230.1
1710,508.14,224.2
1800,531.01,219.4
1980,554.58,199.9
2070,575.818,202.1
2190,601.082,196.4
2280,626.139,189.8
2310,635.765,190.5
2400,648.646,183.8
2580,678.628,176.4
2700,702.659,170.3
2880,722.806,143.7
2910,735.055,156.1
3000,742.635,154.6
3400,791.570,139.6
3600,835.583,138.1
4000,881.494,123.4
4200,914.202,120.5
4800,981.543,105.1
5000,997.619,98.50
5480,1046.01,91.10
